Title,Authors,Citations_counts,Year,Journal,Abstract
Selection theory and the sociology of scientific validity,DT Campbell,67,1987,Evolutionary epistemology: A multiparadigm program,"So often have I reviewed the 150 year old heresy now called “evolutionary epistemology” that the harried and hurried reader needs to be told whether this essay is just another redundant update, or whether I, at least, feel that it says something new."
The Art of Tracking Tbe Origin of Science,NoAuthors,546,1990,NoJournal,"According to a popular misconception, nature is"" like an open book"" to the expert tracker and such an expert needs only enough skill to"" read everything that is written in the sand"". A more appropriate analogy would be that the expert tracker must be able to"" read between the lines"". Trackers themselves cannot read everything in the sand. Rather, they must be able to read into the sand. To interpret tracks and signs trackers must project themselves into the position of the animal in order to create a hypothetical explanation of what the animal was doing. Tracking is not strictly empirical, since it also involves the tracker's imagination. Generally speaking, ore may argue that science is not only a product of objective observation of the world through en e perception. It is also a product of the human imagination. A creative hypothesis is not found or discovered in the outside world, it comes from within the human mind. If the an of tracking is indeed the origin of science, then gaining a better understanding of tracking may help to explain the phenomenal success of science. From an evolutionary point of view, the origin of the creative scientific imagination due to natural selection by nature may explain why it is so successful in nature. If it is assumed that the modern scientific brain has been adapted in part to the necessity of tracking down animals, what limitations, if any, does such a brain place on the modern scientist's understanding of nature? If modern physicists are thinking with a tracker's brain, how does this influence the theories they create in order to explain the fundamentals of nature? This book will not seek to provide full answers to such questions but rather confine itself to a description of tracking itself and its relation to modern science.
The study of the history of science involves fields ranging from the philo sophy and sociology of science to psychology and aesthetics (Holton, 1973). In contemplating the origin of science, and therefore science in its most basic form, this book will include elements from anthropology, archaeology and evolutionary biology. And while the similarities between tracking and modern science may suggest how science originated by means of biological evolution, the differences between them may give some indication of how science subsequently developed by means of cultural evolution. As perhaps the oldest science, the art of tracking is not only of academic interest, it may also be developed into a new science with many practical applications. One of these applications-at a time when wildlife manage ment has become increasingly important-is in nature conservation. Apart from the advantages in the management of wildlife, tracking may be the most effective means of controlling poaching. Trackers are often able to intercept intnrders before they do any harm; or where signs of poaching are found, the spoor may be followed and the guilty parties apprehended. By following the spoor of a poacher, traps and snares may be located and"
Separate spheres and public places: Reflections on the history of science popularization and science in popular culture,"R Cooter, S Pumfrey",688,1994,History of science,"Ifonly because science is held to be"" the most potent instrument of persuasion in our culture"", I questions about its place and placing in popular culture seem compelling. Unlike the history ofmedicine, however, where want ofattention to the processes of popularization has begun to be recognized and remedied,"" in the history ofscience the omission has still to cause widespread concern.'True, much has come to be known about the diffusion and cultivation ofscience among certain elite groups during the scientific and industrial revolutions,'and the intellectual impacts ofNewtonianism and Darwinism, in particular, have been prosecuted with vigour.'But surprisingly little has been written on science generally in popular culture, past or present. Still shrouded in obscurity are the effects of even the most obvious mechanisms for the transmission ofscientific knowledge and culture: the popular press, radio and television, to say nothing of science texts, museums, school curricula, and the overtly propagandist productions of the science lobby itself."" From coffee houses to comic books and chemistry sets, from pulpits to pubs and picture palaces, from amateur clubs to advertising companies, from Science Parks to Jurassic Park, our ignorance both ofthe low drama and the high art of science's diffusion and modes of popular production and reproduction is staggering.
As for the historical significance of such efforts, or the meanings of the various discourses involved, these have hardly begun to be contemplated, let alone explored, explained and compared across cultures, classes and chronologies. The impact of science's popularization upon both men and women remains to be measured,"" whether commercially or ideologically, whether as education or as entertainment. As Roger Silverstone has observed, questions have yet to be asked about how scientists, science communicators and audiences define their relationship to something called science, and how that relationship is embedded in the particularities oftheir different cultures and ideologies.! While it may be, as Steven Shapin has noted, that the historical submergence oflay beliefs about nature has come to be seen as"" a problem and as a legitimate topic ofhistorical inquiry"", it is, as he adds,"
Skipper science: A note on the epistemology of practice and the nature of expertise,T Thorlindsson,43,1994,Sociological Quarterly,"This research examines success in fishing from perspectives of science studies and the sociology of work, emphasizing the common elements between the processes of fishing, creative work and scientific practice. It focuses on the expertise of the fishing skippers as they attempt to enhance their fishing success by assessment of evidence, framing of questions and inventing ways to answer these questions. In the process they set and solve problems to deal with uncertainties and uniqueness. It is shown how the skippers develop their knwledge by recording and analyzing data, systematic observation and limited experimentation. The findings demonstrate the importance of craft work and skill in the innovative process and thus bridge the gap between sociology of work and the social studies of science."
"The sociology of energy, buildings and the environment: Constructing knowledge, designing practice","S Guy, E Shove",504,2014,NoJournal,"Bringing the social sciences to the heart of environmental debate, this book demonstrates the relevance of sociological analysis for environmentally critical issues like energy consumption. Focusing on energy efficiency and the built environment, the authors take a critical look at the production and use of technical knowledge and energy-related expertise. Challenging the conventional assumptions of scientists and energy policy-makers, the book outlines a new role for social research and a new paradigm for environmental policy."
"The essay, that is not merely a praise post mortem, focuses on Merton's contribution to the sociology of science. The Authoress underlines the intellectual debt of …",NoAuthors,0,0,NoJournal,"In this paper I will be discussing the research I had done in Mozambique’s Sofala and Cabo Delgado provinces about the rural markets, in September and October of 2003. I will discuss three themes: Africa’s modernity, rural markets, anthropological research. Mozambique is stepping into a form of modernism, since this country’s historical events (colonialism, the marxist regime, the civil war, the introduction in a capitalist economy and within the international aids system) have forced Mozambique to deal with local global issues. The rural markets analysis shows three systems of circulating goods: the system of domestic production, the system of regional production and the one of international production. In the first system (domestic) women have an essential role, being the ones who cultivate the fields and organize the selling of excess goods. In some of Mozambique’s markets we find foreign products for everyday use: we call these markets «transition markets». Together with these markets new professional figures, who play the role of cultural mediators, are developing. The third consideration is about anthropological research method. I’m describing the importance of using «critical knowledge» to read the transformation process of the cultures and to create a true intercultural dialogue."
"Museological science? The place of the analytical/comparative in nineteenth-century science, technology and medicine",JV Pickstone,141,1994,History of science,"This paper is part ofa general project on which I am now working: an attempt to construct a historical sociology of science, technology and medicine, building on the splendid profusion of specialist historical studies we have enjoyed over the last thirty years. I Here I shall focus on what I call analytical/comparative or museological/diagnostic science, technology and medicine, especially in the early nineteenth century, but first I will briefly explain the general outline ofthe project. One of the thrusts, and achievements, of recent historiography has been the linking of social and cognitive forms. We expect the ideologies, content and practices of science to vary according to the contexts of practice. But, except perhaps in history ofmedicine, we have no general models ofthe types ofknow1-edge and the types of social relations with which we are concerned. Perhaps, therefore, we couldtry to systematize these informal and disparate understandings by suggesting a limited number of socio-cognitive types.'Type'here is meant in the sense of Max Weber:'bureaucracy'is an'ideal type', indeed, an ideal socio-cognitivetype-ananalyticdevice, towhichrealsituationsmayapproximate. Types here are types of understanding, or ways of knowing, rooted in specific kinds of social relations. For the most part I am dealing with formalized understandings-knowledges and knowledge-practices in science, technology and medicine. I am uncertain, and leave open the question, as to how far this modelling can be extended into social sciences or informal knowledges. I deliberately use'science-technology-medicine'as the field ofapplication (and I use the abbreviation STM), so as not to assume the vexed distinctions between science, technology and medicine. These awkward divisions have to be problematized rather than accepted. Similarly, I try to explain, rather than presume, the existence ofdifferent'subjects' or'disciplines'. But I should add a caveat. I am dealing with histories of technologies only inasmuch as they involve explicit understandings ofartefacts and processes. Of course, history oftechnology has usually been about the production ofartefacts, and'understanding'has been a very secondary concern. To a limited extent, I wish to redress the balance, but there are open questions as to how tacit and"
"The Social Production of Scientific Knowledge: Sociology of the Sciences Yearbook, 1977 ed. by Everett Mendelsohn, et al",DE Chubin,0,1979,Technology and Culture,"On its face this book suggests that the social study of science is an activity conducted almost exclusively in the European community. North American research seems remote. The gulf between it and European research appears to be almost as wide as the Atlantic Ocean: Each has referent gurus, literatures, and key words. To this North American the gulf is dismaying and unnecessary. For the Europeans operating in a so-called neo-Kuhnian tradition and the rest of us supposedly manacled to the Mertonian paradigm, our tacit or acknowledged diff erences in approach are no more than emphases within a single research program. Indeed, the theme of this book (ie, knowledge as a social product) bridges the two traditions as surely as Kuhn and Merton are compatible gurus. This largely European collection marks 1976-77 as halcyon years in the sociology of science. New works abound; this work excels. But the separation of the communities alluded to above is disturbingly evident in these eleven essays. Only three North Americans appear among the authors, and two of these sit on the editorial board for the Yearbook. These numbers are significant since, of the thirteen mem bers of this board, eight wrote articles in the present volume. I only hope that a different array of authors appears in the forthcoming volumes, The Dynamics of Science and Technology: Social Values, Technical Norms and Scientific Criteria in the Development of Knowledge (1978) and Countermovements and the Sciences: Science and the Anti-Science (1979).
To chide the editors for geographic and intellectual ethnocentrism is not to deny the quality of the collection. Indeed, there are some real plums and no bona fide lemons here. Most of the chapters are pro grammatic; several contain provocative concepts and hypotheses; few harbor clinching data. Of special interest are Mendelsohn’s and Roger Krohn’s respective contributions to part one,“The In stitutionalization of the Sciences.” Here the historical and philosoph ical dimensions of the sociology of science are duly stressed. Mendel sohn sets the tone by resurrecting—as must still be done—the evil of internal-external history as an either-or proposition and by im plementing a sociology of knowledge approach to 17th-and 19thcentury biology. Krohn’s perceptive analysis of language and ideology shines through as the only attempt to focus critically on the social and the cognitive in science as an interface problem which researchers on both sides of the Atlantic have addressed. Part two examines “Social Relations of Cognitive Structures in the Sciences.” Three of the four chapters emerge as exemplary. One is Pinch’s case study of the “hidden variables” controversy in quantum"
Guest Editorial: What is Meant by Constructivist Science Teaching and Will the Science Education Community Stay the Course for Meaningful Reform?,LD Yore,128,2001,The Electronic Journal for Research in Science & …,"The opportunities for meaningful international science education reform have never been better! But, I am beginning to sense a waning desire and focus among science educators to capitalize on these opportunities and to make this difference. Some science education researchers appear to have set aside standards, science literacy for all, constructivist teaching, and authentic assessment as yesterday's news or as political plots to centralize control of education (Merrow, 2001). At the same time many science teacher educators do not believe there is consolidated support from their academic institutions, the funding agencies, the teaching field, and the public for the 60-year effort remaining in"" Project 2061""(AAAS, 1990).
At a recent seminar a well-published science education researcher questioned why the group was discussing constructivism since it is old hat and everything that is needed to be known about constructivism was already known. This may or may not be true, but knowing does not mean applying! As a reviewer for several science education journals, I am impressed with the increased connections of science education and teacher education research to other fields of inquiry (cognitive psychology, sociology of science, women's studies, etc.), but I also find a lack of explicit foundational links to our basic parentage--science and education. Science educators need to anchor their claims to the context of the nature of science, science education reforms, science teaching and learning, and formal and informal learning environments. Furthermore,'markers' are needed to improve generalization, replication, and application of procedures, results and recommendations via case-to-case, random samples, or theory-based techniques (Firestone, 1993). These markers might be clearly described theoretical assumptions, well-defined samples, established instruments, and consistent applications of design procedures."
The sociology of finance,"BG Carruthers, JC Kim",265,2011,Annual review of sociology,"… Although interest in finance is rapidly growing, the sociology of finance draws on other research. … Finally, we turn to the micro contexts for finance: the local settings in which financial …"
On the sociology of values: patterns of research,JH Barnsley,11,1972,The Sociological Review,"Apart of a broader enquiry into the sociology of moral codes,'the author conducted an empirical analysis of existing research on the'sodolc^ of values'. Intelleaually such an enquiry is to be located within the broader context of the'sociology of sociology', itself a part of the sociology of knowledge. The development of this field has been mudi advocated in recent times, primarily on the grounds that it should facilitate the emergence of a more'reflexive', more critical and self-a ware kind of social science.-'It has also been perceived as a systematic means of lessening—or at least bringing into consciousness—the social determination of the more-or-less latent patterns of theory and research exhibited by these disciplines. In essence it involves using the tools of social science in order to learn from a given subject's past.
The pattern of references in social science literature on the various aspects of moral codes is both extensive and extremely diverse. It seemed useful, therefore, to try and obtain some overall descriptive account of the kind of material available. To achieve this systematically, though on a limited scale, we conduaed a content analysis of the references falling under the rubric of'values' in the Sociological Abstracts journal—from its inception in 1953 through to 1966.'Values' do not, of course, exhaust the content of any given moral code. However, they do form a principal part of it and have tended to form a conceptual focus of sociological attention in this field. Such references were thus more easily identified and also better represented than, for example, those under the heading of'rules','prescriptions', or even'morality'as such. Certainly we gained a much fuller sample of empirical studies by following this procedure, although it has to be acknowledged that no consistently applied distinction between the processes of prescription and evaluation is to be found in the literature under review. In consequence, empirical studies, or discussions, of what one might strictly term prescriptions are frequently subsumed under the protean concept of values. The Sociological Abstracts journal was chosen because, as the only 229"
Social studies of science and technology in Latin America: A field in the process of consolidation,NoAuthors,44,2007,NoJournal,Social Studies of Science and Technology in Latin America: A Field in the Process of Consolidation
Introduction: Rhetoricians on the rhetoric of science,NoAuthors,17,1989,NoJournal,"Readers of this journal need no reminder that the rhetoric of scientific writing has become an important research site in the sociology of science, largely motivated by constructivist, strong program, and ethnomethodo-logical concerns. Although the use of the term rhetoric relies on a residual communal memory of an ancient branch of knowledge, in the sociological literature, rhetoric as a term and as an analytic method has been treated as a late-twentieth-century invention, conceptually born of French theorists and methodologically realized by British sociologists. But other well-developed bodies of rhetorical knowledge are alive in the academy and have developed both theory and analytical methods of use to sociologists interested in the rhetoric of science. Rhetoric as a discipline had its origins in the political and juridical ac-tivity of Athens; the sophists, Plato, Aristotle, and others considered how one ought to talk and present one’s case in public and in what linguistic manner one could or ought to enquire after knowledge. The consideration of the most effective means of persuasion was taken up by the Romans, and then by medieval churchmen, Renaissance courtiers, and eighteenth-century reformers. Sir Francis Bacon, Thomas Hobbes, Joseph Priestley, Adam Smith, and Alexander Bain are among those who wrote influential works on rhetoric in the early modem period; each of these considered both persuasion and the relationship between language and knowledge. As the social circumstances and social projects of the rhetoricians changed, so did the theory and practical guidelines. Together the historically deep literature of rhetoric provides many insights into the use of language and offers many analytical concepts to help expose how individual speeches and texts work. Useful introductions, surveys, and bibliographies of the history of rhetoric are James J. Murphy, A Synoptic History of Classical Rhetoric (1983), and Winifred B. Horner, me Present State of Scholarship in Historical and"
The socio-epistemic constitution of science and technologyin the Greek press: an analysis of its presentation,"K Dimopoulos, V Koulaidis",69,2002,Public Understanding of Science,"This paper aims to analyze the way in which the Greek press treats the socio-epistemic constitution of science and technology. By “socio-epistemic constitution” we mean the following dimensions:(a) techno-scientific methodology,(b) the social organization of the techno-scientific endeavor, and (c) the interactions of science and technology with other public spheres. Our methodology is based on a content analysis of a sample consisting of 1,867 relevant articles from four national Greek newspapers. The analysis showed that although there is a constant flow of techno-scientific articles, the internal aspects (methodology and internal organization) of science and technology become apparent in only a small minority of these articles. By contrast, external relationships, mainly with politics and economics, are emphasized by focusing on the positive social impact of the techno-scientific endeavor. In general, the Greek press makes a positive contribution to the advancement of the public understanding of science and technology, as the prominent presentation of some of their socio-epistemological components forms a realistic “post-academic” image of these two areas."
The narrative reconstruction of science,J Rouse,122,1990,Inquiry,"In contrast to earlier accounts of the epistemic significance of narrative, it is argued that narrative is important in natural scientific knowledge. To recognize this, we must understand narrative not as a literary form in which knowledge is written, but as the temporal organization of the understanding of practical activity. Scientific research is a social practice, whereby researchers structure the narrative context in which past work is interpreted and significant possibilities for further work are projected. This narrative field displays a constant tension between a need for a coherent, shared understanding of the field and the incoherence threatened by divergent projects and interpretations. The account has three parts. First, a summary of the general account of the narrative intelligibility of action which underlies the proffered view of narrative in science. This account is then applied to understanding how scientific work acquires significance, and how the scientific literature is constructed and read. Finally, it is shown how this account should transform our understanding of the unity of science, and it is suggested how it can help undercut various realist and anti‐realist interpretations of scientific knowledge, while also challenging the ironic stance which many recent sociologists adopt toward the global legitimation of science attempted by many philosophers."
Against essentialism: A theory of culture and society,S Fuchs,888,2001,NoJournal,"… What is found here is a “theory”—a map as to how research on society and culture might be done. There is some evidence marshaled for this theory, and there are also some sketches …"
Using history and sociology to teach engineering ethics,RR Kline,108,2001,IEEE Technology and Society Magazine,"An overview is given of the academic discipline of engineering ethics in the United States, describing how the subject has been taught in the US, and suggesting a new method that uses the history and sociology of science and technology to teach ethical issues in engineering. Traditionally, engineering ethicists have focussed on accidents to analyze both ethical conduct and social implications of engineering. The new approach attempts to move beyond this concern with what might be called"" disaster ethics"" to study the ethical and …"
"The science of empire: Scientific knowledge, civilization, and colonial rule in India",Z Baber,378,1996,NoJournal,"… on the practice of science and technology in colonial India, most of … , colonial power and scientific knowledge, implicated in the process. The general tendency has been to portray Indian …"
Russian formalist sociology of literature: A sociologist's perspective,L Greenfeld,26,1987,Slavic Review,"Russian formalism has been of interest in the west for at least three decades since the publication of Victor Erlich's authoritative study of the school in 1954. Almost every year significant new contributions are made to the analysis of the formalists' scholarship; their multiplex theory, with all of its different, and at times seemingly contradictory, aspects, is elucidated, and many of these aspects are successfully incorporated in modern criticism and literary theory in the west. I will not dwell upon the better known “internalist” aspects of the …"
Evaluation of leadership and employee commitment to work in Nigeria bottling company,"DA George, O Olumide",27,2011,Studies in Sociology of Science,"The issue of leadership role in industrial sector nowadays in Nigeria has generated various scholarly arguments among researchers. leadeship and employee relationship within the manufacturing and industrial sector of Nigeria are more of servant and master relationship which invariably determines the worker commitment to their various work within the organization. Some of this argument on leadership styles within the Beverage’s company gave impetus for studying and evaluate the different leadership styles adopted in Nigerian Bottling Company. However, employees attitudes towards job utility and satisfaction were investigated in the research work. 69 workers were investigated and their responses were tabulated and interpreted through simple percentage. Hence, results were generated from the research work and recommendations were made for future research."
"Expertise,“Scientification,” and the Authority of Science","S Turner, G McCreery",4,2007,The Blackwell Encyclopedia of …,"Sociologists and social thinkers have long been concerned with the problem of the role of knowledge in society. In the 1940s and 1950s the sociology of science concerned itself with the related problem of the authority of science and with conflicts between science and democracy. In a world of complexities that are only understood by experts, the conflict between expert knowledge and democracy is still relevant today."
On managing science in the systems age: two schemas for the study of science as a whole systems phenomenon,II Mitroff et al.,439,1974,Interfaces,"In the Machine Age science not only took the world apart, but it took itself apart, dividing itself into narrower and narrower disciplines. Each discipline represented a different way of looking at the same world. Shortly before World War II science began to put itself back together again so that it could study phenomena as a whole, from all points of view. As a result, a host of new interdisciplines emerged such as Operations Research, Cybernetics, Systems Engineering, Communications Sciences, and Environmental Sciences. Unlike earlier scientific disciplines which sought to separate themselves from each other and to subdivide; the new interdisciplines seek to enlarge themselves, to combine to take into account more and more aspects of reality. Systems Science is the limit of this process, an amalgamation of all the parts of science into an integrated whole. Thus, Systems Science is not a science, but is science taken as a whole and applied to the study of wholes."
Information Technology and the Sociology of Education: some preliminary thoughts,MFD Young,28,1984,NoJournal,"It is not, I think, an exaggeration to say that sociologists, whatever their field of specialisation, have neglected the emergence in this country of information technology and the way it has taken on many of the characteristics of a new fashion. It is not surprising therefore, though equally alarming, that while the flood of public documents, media coverage and increasingly in the way these products are advertised, there is invariably reference to'educational'implications, sociologists of education have hardly began to explore the issues. With the exception of Meighan & Reid (1982), it is not possible within the field, at least in what has been published, to recognise what the sociological issues might be. Yet what is not in doubt is the part information technology is envisaged as playing in economic and educational policy. One has only to cite MEP, ITEC's, TVEI, the DOI/schools microcomputer scheme, and the priorities given to'new blood'and other appointments partly following acceptance of the Alvey Report, to see that these are definite lines of policy which embrace broader attempts to restructure education and training. Primary and secondary schools, and more recently teacher training institutions, are accepting the subsidies for hardware with alacrity. The traditional educational publishing houses are endeavouring to produce and market the software, and in-service courses of anything from two days to a year have begun to proliferate. All this is of course in the context of developments in the electronic game/arcade culture (Sudnow, 1983), the implications of which we as yet know little. In the mass media we have been presented with a series of futuristic predictions legitimated with varying degrees of academic sophistication (eg Gorz, 1983). These imply radical changes in the division of labour, which involve the wholesale disappearance of paid labour for all but a minority. In this brief paper I can do no more than hint at some of the issues that I and colleagues I have worked with [1] have been exploring. In doing so I will refer readers of this journal to studies which, though not in the strict sense sociological, nevertheless seem to point to some of the areas sociologists might be concerned"
Euphemism from sociolinguistics perspective,"C Ren, H Yu",44,2013,Studies in sociology of science,"Euphemism is a proper language style that people pursue in social communication in order to reach an ideal communication effect. Euphemism can avoid and soften taboos and sensitive or awkward topics. In every stage and each country, euphemisms are widely used. Thus, the creation and usage of euphemism is a common phenomenon in human language. Because euphemism is used in certain community and is influenced by socialcultural factors, thus, it is heavily marked with socialcultural features. As a special language …"
Epistemic cultures: Towards a new sociology of knowledge,HD Evers,49,2000,NoJournal,"In his influential work"" Die Wissensformen und die Gesellschaft""(Types of Knowledge and Society) Max Scheler (1924/1960) sees knowledge as an existential phenomenon, a"" Seinsverhältnis"", which serves different purposes: the development of personality, salvation in a religious sense, political domination and economic achievement. Positive scientific knowledge is only one of several forms of knowledge, which is in itself dependent on the absolute reality of metaphysics (Maasen 1999: 15). There are two"" Seinsbereiche"", namely …"
"Reasons, causes, and the'Strong Programme'in the sociology of knowledge",W Schmaus,13,1985,Philosophy of the Social Sciences,"In presenting his version of the’Strong Programme’in the sociology of knowl-edge, David Bloor disallows the appeal to norms of rationality in the explanation of belief. Thus, by implication, he reads an individual’s reasons for holding some belief out of any possible causal account of that belief. This has led to unneces-sary disputation. If we allow a person’s reasons for holding a belief to be included among the causes of that belief, the tenets of Bloor’s programme are rendered uncontroversial."
Opening the black box: cognitive science and history of science,NJ Nersessian,186,1995,Osiris,"1A the last twenty years. Cognitive science is a loose confederation of cognitive psychology, artificial intelligence, cognitive neuroscience, linguistics, philosophy, and cognitive anthropology. Recently a research frontier I call cognitive history has emerged within the history of science and is finding its place in this confederation. The emphasis of cognitive history is on the"" thinking practices"" through which scientists create, change, and communicate their representations of nature. I view the task of this article as largely programmatic; that is, to discuss the theoretical presuppositions of cognitive history and to outline a sample of research projects and problems. What I hope to persuade the reader is that cognitive history of science provides new insights into science as a human enterprise. While my own contributions to cognitive history have been inherently multidisciplinary, I will concentrate the discussion here on issues of concern to historians. My objectives are to introduce historians of science to developments in cognitive science; to argue and demonstrate that in some areas historical interpretation has already been enriched by"" cognitivehistorical"" analysis; to outline potential areas of research within history of science; and to entice historians of science into collaborative research with cognitive scientists on topics of mutual interest."
Towards an analysis of scientific observation: The externality and evidential significance of observational reports in physics,T Pinch,314,1985,Social studies of science,"In this paper a new schema for the analysis of scientific observation is proposed. The concepts of `externality' and `evidential' context of observational reports are introduced. The degree of externality of reports is shown to be related to the specificity of the evidential context. Attention is drawn to how the new concepts differ from traditional issues raised by the problem of the theory-ladenness of observations. The analysis is illustrated by reference to the detection of solar neutrinos and measurements of solar oblateness. Detailed studies of these cases reveal how the externality and evidential context shifts during the course of observational disputes. Some of the consequences of the new schema for the analysis of scientific language, access to experimental data, and black-box instrumentation are developed."
External and internal factors in the development of science,D Shapere,50,1986,Science & Technology Studies,"According to a familiar traditional view, science is a distinctive enterprise, demarcated sharply from all other human pursuits. The exact nature of that line of demaracation was conceived differently by different thinkers or schools. Depending on whom one read, the demarcation might be held to lie in its experimental method, or in its building upon irrefutable observational facts, or in the distinctive rules (deductive or inductive) by which it adopts a theoretical superstructure on the basis of those facts, or in its goals of attaining knowledge of nature, or in a combination of several or all of these factors.
But despite all such important differences of detail, according to all versions of this traditional sort of view, it was the unalterability, the inviolability, the eternity, attributed to the distinguishing marks of science, that most strikes us today. For according to those approaches, the distinguishing characteristics of science must characterize it forever, unaffected by any results of scientific inquiry. If it was its method that demarcated science from other sorts of human"
The changing governance of the sciences,"R Whitley, J Gläser",364,2007,Sociology of the sciences yearbook,… the basis for the conference at Bielefeld in 2005 at which earlier versions of most of the … We are very grateful for the support of the PRIME network of the European Commission and …
The sociology of innovation in modern astronomy,D Edge,20,1977,Quarterly Journal of the Royal Astronomical Society …,"… The first more controversial point is that almost all the major discoveries in radio astronomy (and, inasmuch as I can elucidate them, many of those in other branches of modern astronomy, too) have been … of the growth of modern astronomy: individual choices can also (in …"
Confronting nature: The sociology of solar-neutrino detection,T Pinch,470,1986,NoJournal,"… Solar-neutrino Detection as a Case of Scientific Controversy At other points in this book, the history of solar-neutrino detection … the development of solar-neutrino detection can only be …"
Ending up on the wrong side: Must the two forms of radicalism always be at war?,M Ashmore,62,1996,Social Studies of Science,"In this paper, I look at the reflexive political implications for the sociology of scientific knowledge (SSK) of two incipient or actual public disputes about when certain items of scientific knowledge should have been known, and consequently if and when certain actions should have been taken on the basis of this knowledge:
(1) The case of a `dying smoker' suing a tobacco company for not printing health warnings on cigarette packets in the 1960s, when the company should have known the facts about the effects of smoking on health; and
(2) The case of a technological disaster inquiry where the technology's proponents are accused of culpable negligence on the grounds that they should have known the facts about the effect of low temperature on the resilience of space-shuttle O-rings.
When SSK's contingent and symmetrical understanding of knowledge is applied to these cases, it would appear that the analytic conclusion — that it is naïve and unrealistic to retroject states of knowledge, as the accusers do — sides with the account of the situation given by the defence (who here are reactionary societal actors like tobacco companies and NASA). Thus the epistemological radicalism of SSK would appear to place it not merely as a neutral bystander, but (much worse) as an active supporter of the `wrong' side, politically-morally speaking. Should SSK therefore abandon its epistemological radicalism in favour of politico-moral radicalism? Which form of commitment should we choose? Or can we, somehow, choose both?"
Introduction: Sociological orientations to representational practice in science,"M Lynch, S Woolgar",278,1988,Human studies,"Contributors to this Special Issue were asked to investigate the topic of"" representational practice in science."" We did not require that the studies adopt a particular theory of representation, or follow a specific methodological approach. Nor did we specify a preference for the fields of scientific practice to be investigated. Contributors were asked to consider any of the varieties of rep? resentational devices used in science: graphs, diagrams, equations, models, photographs, instrumental inscriptions, written reports, computer programs, laboratory conversations, and hybrid forms of these. Studies on the organization, interconnectedness, and use of such devices were to be related to general issues in the sociology and philosophy of science. Given this open-ended agenda, it is not surprising that this Special Issue contains a diverse collection of papers. With the exception of Paul Tibbetts' essay? a critical discussion on the sociology of scientific representation which helps to specify the context of inquiry for the other studies? the papers examine particular texts and activities. They investigate a number of different kinds of representation: visual and graphic documents of laboratory data, textual figures, biographical accounts of scientific"" problems,"" instructions for novices, and"" artificially intelligent"" programs. While there are some"" family resemblan"
Of power maniacs and unethical geniuses: Science and scientists in fiction film,"P Weingart, C Muhl…",271,2003,Public Understanding of …,"New knowledge has met with ambivalence, as is documented in myths ever since that of Prometheus. This ambivalence is also apparent in the representations of science in literature and the popular media, most prominent among them movies. Shelley’s Frankenstein has become the icon of the “mad scientist” as depicted by filmmakers ever since the 1930s. To trace such patterns of ambivalence and stereotypes of scientists and science in fiction film, 222 movies were analyzed. It is apparent that modification of, and intervention into, the human body, the violation of human nature, and threats to human health by means of science are depicted as the most alarming aspects of scientific inquiry. The threat is dramatized by being associated with the image of the scientist as pursuing the quest for new knowledge in secrecy, outside the controls of academic institutions and peers. Scientific research as perceived by fiction film is seldom a venture across the boundaries of the permissible."
"History, philosophy, and sociology of soil science",NoAuthors,19,2010,NoJournal,2.4. The Americas 3. Soils in the Scientific Revolution 3.1. Soils and Plant Nutrition 3.2. Soil Evaluation for Taxation 3.3. Soil as an Evolutionary Body 4. Soil Science in the 19 th Century 4.1. Agrogeology
The duhem thesis,R Ariew,170,1984,The British Journal for the Philosophy of Science,"… Duhem's thesis is not the same as the Duhem-Quine thesis, and that Duhem's thesis cannot be faulted by the criticism that would be proper against the Duhem-Quine thesis.' In section 2…"
Scientometrics today: A methodological overview,L Ivancheva,91,2008,Collnet journal of scientometrics and information …,"The paper considers the current state of scientometrics, in methodological context, as a branch of the discipline “science of science”. Discusses its fields of study; the wider thematic scope of scientometrics; the specific research instruments, objects /and indicators, related to them – “input” and “output” ones/, the empirical basis, and explanatory abilities of scientometrics. Some classifications of scientometric methods are also introduced.
Further, the methodological peculiarities, limitations, and problems of scientometric research are presented, such as multifactorial dependence, permanent rearrangements of the factors, subjectivity of the measuring results, non-additivity of the empirical data, availability of two types of variables – indicators and latent variables, theoretical importance of the empirical indicators, etc. The interrelations and interactions between scientometrics and other research disciplines /as sociology of science, information sciences, philosophy of science, economics, linguistics, etc./ are also considered in the paper. Some modern tendencies in scientometric studies are also highlighted, too. Concludes that the scientometrics becomes an especially perspective part of the general “science of science”, and a powerful tool of the research and innovation policy."
Symmetrical twins: On the relationship between Actor-Network theory and the sociology of critical capacities,"M Guggenheim, J Potthast",180,2012,European Journal of Social …,"This article explores the elective affinities between Actor-Network Theory (ANT) and the sociology of critical capacities. It argues that these two research programmes can be understood as symmetrical twins. We show the extent to which the exchange between Bruno Latour and Luc Boltanski has influenced their respective theoretical developments. Three strong encounters between the twin research programmes may be distinguished. The first encounter concerns explanations for social change. The second encounter focuses on the status of objects and their relationship to places. The third encounter is about the concept of critique. Drawing on their long-term mutual readings, we gain insight into how pleas for symmetrical analysis raised in response to Bourdieu’s theory of fields have evolved within both ANT and the sociology of critical capacity. We conclude by relating the development of the respective research programmes to the issue of disciplinary boundaries."
